"","IRIS","population"
"1","751010101",340
"2","751010102",48
"3","751010103",91
"4","751010201",718
"5","751010202",638
"6","751010203",1172
"7","751010204",959
"8","751010206",177
"9","751010301",1129
"10","751010302",39
"11","751010303",86
"12","751010401",487
"13","751010402",506
"14","751020501",385
"15","751020502",110
"16","751020503",76
"17","751020601",577
"18","751020602",510
"19","751020701",710
"20","751020702",773
"21","751020703",795
"22","751020704",337
"23","751020801",764
"24","751020802",639
"25","751020803",754
"26","751020804",732
"27","751020805",794
"28","751030901",831
"29","751030902",653
"30","751030903",785
"31","751030904",666
"32","751030905",627
"33","751031001",1062
"34","751031002",788
"35","751031003",1010
"36","751031004",697
"37","751031101",1004
"38","751031102",558
"39","751031103",593
"40","751031104",1086
"41","751031201",877
"42","751031202",774
"43","751031203",894
"44","751031204",878
"45","751041301",703
"46","751041302",936
"47","751041303",710
"48","751041304",70
"49","751041401",1397
"50","751041402",874
"51","751041403",941
"52","751041404",731
"53","751041501",1721
"54","751041502",574
"55","751041503",760
"56","751041504",645
"57","751041601",822
"58","751041602",234
"59","751041603",21
"60","751051701",890
"61","751051702",584
"62","751051703",950
"63","751051704",1067
"64","751051705",675
"65","751051706",7
"66","751051801",621
"67","751051802",798
"68","751051803",759
"69","751051804",1366
"70","751051805",2081
"71","751051806",995
"72","751051807",1028
"73","751051808",540
"74","751051901",1100
"75","751051902",785
"76","751051903",1022
"77","751051904",555
"78","751051905",822
"79","751051906",754
"80","751051907",699
"81","751051908",1099
"82","751052001",1020
"83","751052002",611
"84","751052003",568
"85","751052004",997
"86","751052005",183
"87","751062101",575
"88","751062102",678
"89","751062103",667
"90","751062201",542
"91","751062202",483
"92","751062203",790
"93","751062204",834
"94","751062205",0
"95","751062301",558
"96","751062302",842
"97","751062303",630
"98","751062304",635
"99","751062305",1106
"100","751062306",998
"101","751062307",595
"102","751062308",1138
"103","751062309",909
"104","751062310",914
"105","751062311",550
"106","751062401",630
"107","751062402",963
"108","751072501",720
"109","751072502",521
"110","751072503",649
"111","751072504",542
"112","751072505",550
"113","751072506",938
"114","751072508",5
"115","751072601",766
"116","751072602",498
"117","751072603",239
"118","751072604",508
"119","751072606",59
"120","751072701",1051
"121","751072702",545
"122","751072703",565
"123","751072704",712
"124","751072705",644
"125","751072706",1016
"126","751072707",41
"127","751072801",931
"128","751072802",794
"129","751072803",585
"130","751072804",1659
"131","751072805",1319
"132","751072806",535
"133","751072807",742
"134","751072808",549
"135","751072809",811
"136","751072810",1247
"137","751072811",799
"138","751082901",280
"139","751082902",214
"140","751082903",195
"141","751082904",67
"142","751082905",179
"143","751083001",808
"144","751083002",1256
"145","751083003",271
"146","751083004",642
"147","751083005",714
"148","751083006",267
"149","751083101",70
"150","751083102",136
"151","751083103",590
"152","751083104",307
"153","751083105",453
"154","751083106",401
"155","751083107",120
"156","751083108",196
"157","751083201",882
"158","751083202",679
"159","751083203",476
"160","751083204",936
"161","751083205",1279
"162","751083206",972
"163","751083207",721
"164","751083208",409
"165","751083209",319
"166","751083210",303
"167","751093301",576
"168","751093302",669
"169","751093303",934
"170","751093304",863
"171","751093305",605
"172","751093306",852
"173","751093307",1175
"174","751093308",907
